"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Acropora aculeus","Acropora aculeus","Acropora","corymbose","pacific",4,1,1,2,3,5,3,1,1,"spawner",40,NA,31.6,40,"Acropora...other","corymbose",4.05,3.45315712059287,0,3.68887945411394,-1.32930183454974,-0.844934603039826,1.37251361070305,0.55142057656859,-0.145065290076492,0.0855789327467786,-0.0871689735069403,-0.0033476870918527,0.145065290076492,0.0855789327467786,-0.0871689735069403,-0.0033476870918527,2,7,7,"Acropora"
"Acropora acuminata","Acropora acuminata","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.2,1,"spawner",133.3,NA,58.7,133.3,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0.182321556793955,4.89260222718466,-2.771115001916,0.62645319867159,0.337562101023261,-0.374426223724518,-0.281050582280679,-0.0665476187831995,0.0174560367677523,-0.0117181337245369,0.281050582280679,-0.0665476187831995,0.0174560367677523,-0.0117181337245369,1,8,8,"Acropora"
"Acropora anthocercis","Acropora anthocercis","Acropora","tables_or_plates","pacific",5,1,2,2,2,5,5,1.3,1,"spawner",75,NA,30.4,75,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,0.262364264467491,4.31748811353631,-1.84422749598976,-1.2594032934682,0.965072989236554,0.919196384537887,-0.224343980216882,0.129723302951798,-0.0430071358796831,-0.132105867682039,0.224343980216882,0.129723302951798,-0.0430071358796831,-0.132105867682039,3,5,5,"Acropora"
"Acropora aspera","Acropora aspera","Acropora","branching_open","pacific",4,1,3,1,5,4,5,1.8,1,"spawner",NA,48.5,48.5,132.5,"Acropora...Staghorn","branching_open",2.025,3.88156379794344,0.587786664902119,4.88658264542628,-2.83335837198345,1.21865210313596,0.634984074264051,0.489001255738068,-0.299396159811763,-0.0824498745775964,0.00512432127822654,0.0028693408888653,0.299396159811763,-0.0824498745775964,0.00512432127822654,0.0028693408888653,1,8,8,"Acropora"
"Acropora austera","Acropora austera","Acropora","branching_open","pacific",5,1,3,2,5,4,5,1.5,1,"spawner",NA,62.9,62.9,152.3,"Acropora...Staghorn","branching_open",2.025,4.1415461637064,0.405465108108164,5.02585225990112,-2.79024224115205,0.678554401591051,0.196374249913663,-0.333400054944802,-0.28116148415549,-0.0697851153770795,0.0167336895634921,-0.00755462548055574,0.28116148415549,-0.0697851153770795,0.0167336895634921,-0.00755462548055574,1,8,8,"Acropora"
"Acropora awi","Acropora awi","Acropora","hispidose","pacific",5,1,3,2,4,4,5,1,1,"spawner",150,NA,58.7,150,"Acropora...Staghorn","branching_open",2.025,4.07243972683405,0,5.01063529409626,-2.65856703753977,0.091516267760056,0.248402826592751,0.0290406515961072,-0.251363409942725,-0.0455654884574192,-0.00372464480273865,0.0188563712353349,0.251363409942725,-0.0455654884574192,-0.00372464480273865,0.0188563712353349,1,8,8,"Acropora"
"Acropora azurea","Acropora azurea","Acropora","branching_closed","pacific",5,1,1,2,4,3,4,1.4,1,"spawner",15,NA,58.7,15,"Acropora...other","branching_closed",2.025,4.07243972683405,0.336472236621213,2.70805020110221,-1.16436020280592,0.289190177539326,2.48889072776169,-0.579376823335454,-0.146932124737046,-0.0724516037701478,-0.0249895079572823,-0.0361250603388702,0.146932124737046,-0.0724516037701478,-0.0249895079572823,-0.0361250603388702,4,4,4,"Acropora"
"Acropora batunai","Acropora batunai","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.5,1,"spawner",125,NA,30.4,125,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.693147180559945,4.8283137373023,-2.30615406012406,-1.393838678316,0.474392932105354,0.96902429545545,-0.249661870591587,0.138265011673835,-0.0475043042919593,-0.110275663718625,0.249661870591587,0.138265011673835,-0.0475043042919593,-0.110275663718625,3,5,5,"Acropora"
"Acropora bifurcata","Acropora bifurcata","Acropora","tables_or_plates","pacific",5,1,3,2,2,5,5,0.9,1,"spawner",NA,NA,30.4,103.2,"Acropora...Tabular","tables_or_plates",1.242,3.41444260841218,-0.105360515657826,4.63666885304746,-2.06666450429724,-1.29916008153403,0.647308631683651,0.970662865780083,-0.236238106430769,0.133160851835722,-0.0447793140386087,-0.114376159788202,0.236238106430769,0.133160851835722,-0.0447793140386087,-0.114376159788202,3,5,5,"Acropora"
"Acropora bushyensis","Acropora bushyensis","Acropora","digitate","pacific",4,1,1,3,3,4,3,1.5,1,"spawner",25,NA,30.5,25,"Acropora...other","digitate",2.2,3.41772668361337,0.405465108108164,3.2188758248682,-0.481537410395013,-0.965131993509226,1.46225714197272,-0.460547043740758,-0.0783717656227183,0.0839761470328528,0.0152018111312797,-0.00361841004159228,0.0783717656227183,0.0839761470328528,0.0152018111312797,-0.00361841004159228,2,7,7,"Acropora"
