"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","variable","n","group","morph","acro","dim1","dim2","dim3","dim4","t","type","simpDx","morph8"
"158575",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Paragoniastrea",0,"HC","Encrusting-submassive","no",-0.191967916813352,-0.0306993831342351,-0.02473163933448,0.0116447556061084,"ii","high D",0.836565096952909,"Encrusting"
"161383",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Homophyllia",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"164191",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Plerogyra",0,"HC","Encrusting-submassive","no",-0.105316075822891,-0.0998453875118921,0.0298845828432979,0.0359379942601894,"ii","high D",0.836565096952909,"Encrusting"
"166999",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Australogyra",1,"HC","Massive-columnar","no",0.13065872570089,-0.0786784170899101,-0.0231514150570016,0.0367130452636839,"ii","high D",0.836565096952909,"Columnar"
"169807",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Millepora",0,"Other","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"172615",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Lobophytum",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"175423",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Sarcophyton",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"178231",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Sinularia",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"181039",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Palythoa",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"183847",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Rhytisma",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"186655",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Xenia",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"189463",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Heliopora",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"192271",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Tubipora",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"195079",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Distichopora",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"197887",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Nepthea",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
"200695",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Dendronephthea",0,"SoC","none","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"none"
