,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
377,Galaxea horrescens,Galaxea,pacific,1,2,4,3,4,3,4,NA,NA,2.9,200,NA,NA,2.9,200,branching_closed,brooder,brooder,Galaxea horrescens,Galaxea horrescens,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
378,Galaxea longisepta,Galaxea,pacific,1,3,1,3,1,2,1,NA,NA,7.6,15,NA,NA,7.6,15,encrusting,NA,NA,Galaxea longisepta,Galaxea longisepta,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
379,Galaxea paucisepta,Galaxea,pacific,1,2,1,3,1,2,1,NA,NA,3.1,NA,NA,NA,3.1,NA,encrusting,NA,NA,Galaxea paucisepta,Galaxea paucisepta,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
380,Gardineroseris planulata,Gardineroseris,pacific,2,2,2,3,4,1,1,9.9,1.6,5,73,9.9,1.6,5,NA,massive,spawner,spawner,Gardineroseris planulata,Gardineroseris planulata,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,NA,NA
381,Goniastrea columella,Goniastrea,pacific,2,4,2,3,3,1,1,6.4,1.6,17.5,94.1,NA,NA,17.5,NA,submassive,spawner,NA,Goniastrea columella,Goniastrea columella,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA
382,Goniastrea edwardsi,Goniastrea,pacific,2,2,2,2,4,1,1,9,1.5,5,100,9.9,NA,5,100,massive,spawner,spawner,Goniastrea edwardsi,Goniastrea edwardsi,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA
383,Goniastrea favulus,Goniastrea,pacific,1,3,2,3,4,1,1,4,1.5,7.5,73.6,4,NA,7.5,NA,massive,spawner,spawner,Goniastrea favulus,Goniastrea favulus,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA
384,Goniastrea minuta,Goniastrea,pacific,2,2,2,2,3,1,1,6.4,1.5,5.9,94.1,NA,NA,5.9,NA,submassive,spawner,spawner,Goniastrea minuta,Goniastrea minuta,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
385,Goniastrea pectinata,Goniastrea,pacific,2,4,2,3,3,1,1,6.4,1.5,15,94.1,NA,NA,15,NA,submassive,spawner,spawner,Goniastrea pectinata,Goniastrea pectinata,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA
386,Goniastrea ramosa,Goniastrea,pacific,3,3,1,3,2,3,2,12.6,1.6,7.4,30,NA,NA,7.4,30,encrusting_long_uprights,spawner,NA,Goniastrea ramosa,Goniastrea ramosa,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
387,Goniastrea retiformis,Goniastrea,pacific,2,3,2,3,4,1,1,7.6,1.7,6.5,100,7.3,1.7,6.5,100,massive,spawner,spawner,Goniastrea retiformis,Goniastrea retiformis,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA
388,Goniastrea stelligera,Goniastrea,pacific,2,2,3,2,4,1,1,10,1.5,5.1,119.5,10,NA,5.1,NA,massive,spawner,spawner,Favia stelligera,Goniastrea stelligera,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,NA
389,Goniastrea thecata,Goniastrea,pacific,2,3,2,3,4,1,1,6.4,1.5,8.4,100,NA,NA,8.4,100,massive,spawner,NA,Goniastrea thecata,Goniastrea thecata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,Goniopora albiconus,Goniopora,pacific,1,2,2,3,1,2,1,3.6,1.6,3.2,100,NA,NA,3.2,100,encrusting,spawner,NA,Goniopora albiconus,Goniopora albiconus,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
391,Goniopora burgosi,Goniopora,pacific,2,1,2,2,3,1,1,7.4,1.4,1.7,58,NA,NA,1.7,NA,submassive,spawner,NA,Goniopora burgosi,Goniopora burgosi,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA
392,Goniopora cellulosa,Goniopora,pacific,2,2,2,2,4,1,1,7.4,1.4,4.1,58,NA,NA,4.1,NA,massive,spawner,NA,Goniopora cellulosa,Goniopora cellulosa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
393,Goniopora ciliatus,Goniopora,pacific,3,2,5,2,3,1,1,14.6,1.4,3.8,500,NA,NA,3.8,500,submassive,spawner,NA,Goniopora ciliatus,Goniopora ciliatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
394,Goniopora columna,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.4,3.7,83.3,NA,NA,3.7,NA,columnar,spawner,spawner,Goniopora columna,Goniopora columna,1,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,NA,NA
395,Goniopora djiboutiensis,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.5,4.7,83.3,NA,NA,4.7,NA,columnar,spawner,spawner,Goniopora djiboutiensis,Goniopora djiboutiensis,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
396,Goniopora eclipsensis,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.5,3.1,83.3,NA,NA,3.1,NA,columnar,spawner,NA,Goniopora eclipsensis,Goniopora eclipsensis,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
397,Goniopora fruticosa,Goniopora,pacific,1,2,1,3,1,2,1,3.6,1.6,3.7,39.7,NA,NA,3.7,NA,encrusting,spawner,NA,Goniopora fruticosa,Goniopora fruticosa,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
398,Goniopora lobata,Goniopora,pacific,3,2,2,2,5,1,5,14.6,1.4,4.6,83.3,NA,NA,4.6,NA,columnar,spawner,spawner,Goniopora lobata,Goniopora lobata,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
399,Goniopora minor,Goniopora,pacific,1,2,1,3,1,2,1,3.6,1.6,2.5,39.7,NA,NA,2.5,NA,encrusting,spawner,spawner,Goniopora minor,Goniopora minor,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,NA,NA,NA
400,Goniopora norfolkensis,Goniopora,pacific,1,2,1,3,1,2,1,3.6,1.6,2.4,39.7,NA,NA,2.4,NA,encrusting,spawner,spawner,Goniopora norfolkensis,Goniopora norfolkensis,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
401,Goniopora paliformis,Goniopora,pacific,2,2,2,2,4,1,1,7.4,1.4,2.7,58,NA,NA,2.7,NA,massive,spawner,NA,Goniopora paliformis,Goniopora paliformis,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
